test_id,intended_tier,domain,career_stage,major,constraint,query,generation_reason,generation_method
synth_test_014,llm_direct,연구/설계,사회초년생(1~3년차),통계학,지방 거주,연구/설계 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_015,llm_direct,인사/총무/노무,대학생 저학년,통계학,나이 고민,인사/총무/노무 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_016,llm_direct,미디어,대학생 저학년,산업공학,나이 고민,대학생 저학년 입장에서 미디어 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_017,llm_direct,공사/공기업,대학원생,사회학,경력 부족,공사/공기업 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_018,llm_direct,영업/영업관리,대학생 저학년,컴퓨터공학,지방 거주,영업/영업관리 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_019,llm_direct,IT개발/데이터,취업준비생(졸업예정),통계학,제한 없음,IT개발/데이터 직무와 관련 있는 전공은 보통 어떤 게 있나요? 통계학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_020,llm_direct,회계/재무/금융,사회초년생(1~3년차),행정학,제한 없음,회계/재무/금융 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_021,llm_direct,생산/품질/제조,대학생 저학년,무역학,제한 없음,생산/품질/제조 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_022,llm_direct,회계/재무/금융,사회초년생(1~3년차),무역학,비전공,회계/재무/금융 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_023,llm_direct,연구/설계,사회초년생(1~3년차),산업공학,비전공,연구/설계 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_024,llm_direct,회계/재무/금융,취업준비생(졸업예정),사회학,지방 거주,취업준비생(졸업예정) 입장에서 회계/재무/금융 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_025,llm_direct,기타 사무,취업준비생(졸업예정),비전공(일반),지방 거주,기타 사무 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_026,llm_direct,공사/공기업,사회초년생(1~3년차),디자인학,졸업유예 중,공사/공기업 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_027,llm_direct,홍보/CSR,대학생 저학년,산업공학,학점 낮음,홍보/CSR 직무와 관련 있는 전공은 보통 어떤 게 있나요? 산업공학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_028,llm_direct,공무원/비영리,사회초년생(1~3년차),경영학,비전공,공무원/비영리 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_029,llm_direct,교육/상담/컨설팅,취업준비생(졸업예정),무역학,지방 거주,교육/상담/컨설팅 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_030,llm_direct,마케팅/MD,이직/경력전환,디자인학,학점 낮음,마케팅/MD 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_031,llm_direct,공무원/비영리,대학원생,경영학,비전공,공무원/비영리 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_032,llm_direct,인사/총무/노무,취업준비생(졸업예정),디자인학,비전공,취업준비생(졸업예정) 입장에서 인사/총무/노무 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_033,llm_direct,영업/영업관리,대학원생,디자인학,경력 부족,영업/영업관리 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_034,llm_direct,공무원/비영리,취업준비생(졸업예정),경영학,지방 거주,공무원/비영리 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_035,llm_direct,영업/영업관리,대학생 저학년,영어영문학,경력 부족,영업/영업관리 직무와 관련 있는 전공은 보통 어떤 게 있나요? 영어영문학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_036,llm_direct,전문/특수,대학생 저학년,영어영문학,제한 없음,전문/특수 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_037,llm_direct,회계/재무/금융,이직/경력전환,행정학,학점 낮음,회계/재무/금융 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_038,llm_direct,연구/설계,취업준비생(졸업예정),심리학,제한 없음,연구/설계 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_039,llm_direct,마케팅/MD,이직/경력전환,경영학,경력 부족,마케팅/MD 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_040,llm_direct,교육/상담/컨설팅,이직/경력전환,무역학,제한 없음,이직/경력전환 입장에서 교육/상담/컨설팅 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_041,llm_direct,전문/특수,사회초년생(1~3년차),심리학,제한 없음,전문/특수 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_042,llm_direct,유통/무역/구매,이직/경력전환,경영학,제한 없음,유통/무역/구매 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_043,llm_direct,디자인/예술,취업준비생(졸업예정),컴퓨터공학,제한 없음,디자인/예술 직무와 관련 있는 전공은 보통 어떤 게 있나요? 컴퓨터공학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_044,llm_direct,해외영업,사회초년생(1~3년차),사회학,제한 없음,해외영업 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_045,llm_direct,전문/특수,취업준비생(졸업예정),경영학,학점 낮음,전문/특수 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_046,llm_direct,공사/공기업,이직/경력전환,영어영문학,지방 거주,공사/공기업 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_047,llm_direct,인사/총무/노무,사회초년생(1~3년차),영어영문학,학점 낮음,인사/총무/노무 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_048,llm_direct,생산/품질/제조,이직/경력전환,무역학,제한 없음,이직/경력전환 입장에서 생산/품질/제조 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_049,llm_direct,회계/재무/금융,사회초년생(1~3년차),경영학,비전공,회계/재무/금융 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_050,llm_direct,홍보/CSR,취업준비생(졸업예정),행정학,지방 거주,홍보/CSR 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_051,llm_direct,서비스,대학생 저학년,행정학,졸업유예 중,서비스 직무와 관련 있는 전공은 보통 어떤 게 있나요? 행정학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_052,llm_direct,영업/영업관리,사회초년생(1~3년차),화학공학,나이 고민,영업/영업관리 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_053,llm_direct,생산/품질/제조,대학생 저학년,화학공학,나이 고민,생산/품질/제조 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_054,llm_direct,공사/공기업,사회초년생(1~3년차),경영학,학점 낮음,공사/공기업 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_055,llm_direct,공무원/비영리,대학생 저학년,디자인학,제한 없음,공무원/비영리 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_056,llm_direct,회계/재무/금융,취업준비생(졸업예정),영어영문학,졸업유예 중,취업준비생(졸업예정) 입장에서 회계/재무/금융 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_057,llm_direct,인사/총무/노무,사회초년생(1~3년차),행정학,지방 거주,인사/총무/노무 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_058,llm_direct,유통/무역/구매,사회초년생(1~3년차),디자인학,지방 거주,유통/무역/구매 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_059,llm_direct,공무원/비영리,사회초년생(1~3년차),화학공학,학점 낮음,공무원/비영리 직무와 관련 있는 전공은 보통 어떤 게 있나요? 화학공학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_060,llm_direct,IT개발/데이터,대학원생,심리학,경력 부족,IT개발/데이터 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_061,llm_direct,공무원/비영리,이직/경력전환,무역학,학점 낮음,공무원/비영리 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_062,llm_direct,마케팅/MD,대학원생,행정학,지방 거주,마케팅/MD 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_063,llm_direct,"서비스 기획/UI,UX",대학원생,경영학,지방 거주,"서비스 기획/UI,UX 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?",일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_064,llm_direct,IT개발/데이터,취업준비생(졸업예정),화학공학,제한 없음,취업준비생(졸업예정) 입장에서 IT개발/데이터 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_065,llm_direct,미디어,대학원생,무역학,지방 거주,미디어 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_066,llm_direct,해외영업,이직/경력전환,통계학,학점 낮음,해외영업 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_067,llm_direct,공사/공기업,대학원생,통계학,제한 없음,공사/공기업 직무와 관련 있는 전공은 보통 어떤 게 있나요? 통계학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_068,llm_direct,마케팅/MD,대학생 저학년,사회학,나이 고민,마케팅/MD 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_069,llm_direct,기타 사무,사회초년생(1~3년차),산업공학,제한 없음,기타 사무 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_070,llm_direct,전문/특수,사회초년생(1~3년차),컴퓨터공학,제한 없음,전문/특수 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_071,llm_direct,공사/공기업,취업준비생(졸업예정),경영학,비전공,공사/공기업 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_072,llm_direct,전문/특수,이직/경력전환,행정학,제한 없음,이직/경력전환 입장에서 전문/특수 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_073,llm_direct,인사/총무/노무,이직/경력전환,화학공학,학점 낮음,인사/총무/노무 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_074,llm_direct,미디어,취업준비생(졸업예정),비전공(일반),학점 낮음,미디어 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_075,llm_direct,"서비스 기획/UI,UX",이직/경력전환,화학공학,경력 부족,"서비스 기획/UI,UX 직무와 관련 있는 전공은 보통 어떤 게 있나요? 화학공학 전공도 관련이 있을까요?",일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_076,llm_direct,연구/설계,대학생 저학년,산업공학,제한 없음,연구/설계 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_077,llm_direct,공무원/비영리,취업준비생(졸업예정),심리학,제한 없음,공무원/비영리 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_078,llm_direct,생산/품질/제조,이직/경력전환,경영학,나이 고민,생산/품질/제조 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_079,llm_direct,전문/특수,대학생 저학년,통계학,경력 부족,전문/특수 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_080,llm_direct,해외영업,대학원생,디자인학,나이 고민,대학원생 입장에서 해외영업 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_081,llm_direct,교육/상담/컨설팅,이직/경력전환,행정학,제한 없음,교육/상담/컨설팅 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_082,llm_direct,생산/품질/제조,이직/경력전환,디자인학,졸업유예 중,생산/품질/제조 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_083,llm_direct,마케팅/MD,이직/경력전환,통계학,지방 거주,마케팅/MD 직무와 관련 있는 전공은 보통 어떤 게 있나요? 통계학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_084,llm_direct,전문/특수,사회초년생(1~3년차),디자인학,졸업유예 중,전문/특수 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_085,llm_direct,전문/특수,사회초년생(1~3년차),통계학,비전공,전문/특수 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_086,llm_direct,IT개발/데이터,취업준비생(졸업예정),사회학,지방 거주,IT개발/데이터 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_087,llm_direct,교육/상담/컨설팅,대학원생,산업공학,경력 부족,교육/상담/컨설팅 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_088,llm_direct,연구/설계,취업준비생(졸업예정),화학공학,학점 낮음,취업준비생(졸업예정) 입장에서 연구/설계 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_089,llm_direct,연구/설계,취업준비생(졸업예정),산업공학,졸업유예 중,연구/설계 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_090,llm_direct,공무원/비영리,사회초년생(1~3년차),디자인학,졸업유예 중,공무원/비영리 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_091,llm_direct,공무원/비영리,대학생 저학년,컴퓨터공학,제한 없음,공무원/비영리 직무와 관련 있는 전공은 보통 어떤 게 있나요? 컴퓨터공학 전공도 관련이 있을까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_092,llm_direct,공무원/비영리,이직/경력전환,행정학,학점 낮음,공무원/비영리 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_093,llm_direct,전략/기획,대학원생,화학공학,졸업유예 중,전략/기획 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_094,llm_direct,전략/기획,사회초년생(1~3년차),사회학,제한 없음,전략/기획 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_095,llm_direct,"서비스 기획/UI,UX",이직/경력전환,디자인학,학점 낮음,"서비스 기획/UI,UX 쪽 취업을 준비할 때 참고하면 좋은 사이트나 스터디 방식이 있을까요?",일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_096,llm_direct,회계/재무/금융,대학원생,컴퓨터공학,졸업유예 중,대학원생 입장에서 회계/재무/금융 직무를 준비할 때 일반적으로 걸리는 기간이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_097,llm_direct,전문/특수,사회초년생(1~3년차),화학공학,졸업유예 중,전문/특수 직무는 실제로 어떤 일을 하나요? 취준생이 알아두면 좋은 하루 업무 흐름이 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_098,llm_direct,전략/기획,이직/경력전환,영어영문학,학점 낮음,전략/기획 쪽으로 취업하려면 어떤 역량이나 자격증이 도움이 될까요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_099,llm_direct,"서비스 기획/UI,UX",취업준비생(졸업예정),통계학,경력 부족,"서비스 기획/UI,UX 직무와 관련 있는 전공은 보통 어떤 게 있나요? 통계학 전공도 관련이 있을까요?",일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_100,llm_direct,기타 사무,대학원생,경영학,졸업유예 중,기타 사무 분야로 커리어를 시작하려면 신입 기준으로 보통 어떤 준비를 하나요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_101,llm_direct,미디어,대학원생,무역학,비전공,미디어 직무의 최근 채용 트렌드나 인재상은 어떤 편인가요?,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
synth_test_102,llm_direct,인사/총무/노무,이직/경력전환,심리학,제한 없음,인사/총무/노무 직무에서 주니어와 시니어의 역할 차이가 궁금합니다.,일반적인 직무/준비 정보 질문으로 개인 이력 평가나 선택 판단이 필요하지 않음,template
